angle,predicted_impedance,impedance
304.66390899689776,nan,20.04167
304.3123061013445,nan,20.32845
303.7849017580146,nan,21.12122
303.34539813857305,nan,20.86139
302.90589451913144,nan,nan
302.4663908996899,nan,nan
302.02688728024833,nan,20.32845
301.5873836608067,nan,19.81928
301.14788004136517,nan,20.86139
300.7083764219236,nan,21.12122
300.3567735263703,nan,20.56864
299.91726990692877,nan,nan
299.4777662874872,nan,20.593970000000002
299.0382626680456,nan,20.32845
298.68665977249236,nan,20.080779999999997
298.2471561530508,nan,nan
297.89555325749757,nan,20.593970000000002
297.45604963805596,nan,nan
297.1044467425027,nan,20.32845
296.66494312306116,nan,20.080779999999997
296.22543950361955,nan,20.04167
295.9617373319546,nan,nan
295.52223371251307,nan,19.81928
295.08273009307146,nan,20.080779999999997
294.7311271975182,nan,20.04167
294.379524301965,nan,20.56864
293.85211995863506,nan,21.12122
293.5005170630818,nan,20.32845
293.1489141675286,nan,nan
292.70941054808696,nan,20.04167
292.2699069286454,nan,20.86139
291.83040330920386,nan,nan
291.39089968976225,nan,20.32845
290.9513960703207,nan,20.080779999999997
290.68769389865577,nan,nan
290.16028955532585,nan,19.81928
289.8086866597726,nan,nan
289.36918304033105,nan,20.56864
288.9296794208895,nan,nan
288.5780765253362,nan,20.593970000000002
288.13857290589465,nan,19.81928
287.6990692864531,nan,20.080779999999997
287.2595656670115,nan,19.58955
286.82006204756993,nan,20.32845
286.3805584281284,nan,nan
286.0289555325751,nan,nan
285.58945191313353,nan,nan
285.149948293692,nan,20.080779999999997
284.44674250258544,nan,19.81928
284.2709410548088,nan,nan
284.0072388831439,nan,20.04167
283.6556359875906,nan,20.32845
283.21613236814903,nan,nan
282.8645294725958,nan,19.81928
282.5129265770425,nan,19.58955
282.16132368148925,nan,nan
281.7218200620477,nan,20.32845
281.28231644260615,nan,19.33253
280.93071354705285,nan,19.81928
280.4912099276113,nan,nan
280.05170630816974,nan,19.58955
279.70010341261644,nan,20.04167
279.2605997931749,nan,20.86139
278.82109617373334,nan,20.080779999999997
278.46949327818004,nan,20.32845
278.1178903826268,nan,20.04167
277.67838676318524,nan,nan
276.9751809720787,nan,20.080779999999997
276.7114788004138,nan,nan
276.44777662874884,nan,19.33253
276.1840744570839,nan,nan
275.7445708376423,nan,20.04167
275.39296794208906,nan,19.58955
274.9534643226475,nan,20.32845
274.5139607032059,nan,19.81928
274.16235780765265,nan,19.33253
273.6349534643228,nan,nan
273.10754912099287,nan,20.32845
272.75594622543963,nan,19.58955
272.3164426059981,nan,20.56864
271.87693898655647,nan,nan
271.4374353671149,nan,nan
270.9979317476733,nan,19.81928
