angle,predicted_impedance,impedance,Error
315.9152017,19.94675304,20.4591,2.504249751
320.57394,19.94778529,20.4591,2.49920433
255.6153051,20.16425836,20.67923,2.490284394
314.2450879,19.94999857,20.4591,2.488386236
254.8241986,20.16695725,20.67923,2.477233214
311.9596691,19.95674839,20.4591,2.455394477
311.8717684,19.95705366,20.4591,2.453902355
253.0661841,20.1733562,20.67923,2.446289368
252.2750776,20.17642757,20.67923,2.431436909
310.2016546,19.96339732,20.4591,2.42289582
250.6049638,20.18332899,20.67923,2.398063226
308.5315408,19.97062577,20.4591,2.387564588
308.2678387,19.97183453,20.4591,2.381656434
249.6380558,20.18759533,20.67923,2.377432182
326.5511892,19.98018057,20.4591,2.340862662
246.5615305,20.20257123,19.72981,2.340104244
247.4405377,20.19806906,20.67923,2.326783614
305.8945191,19.98336035,20.4591,2.32532054
304.7518097,19.98923201,20.4591,2.296621026
304.4881075,19.99060871,20.4591,2.289891976
244.3640124,20.21463257,20.67923,2.246686294
301.7631851,20.00513938,20.4591,2.218868948
301.4115822,20.00703784,20.4591,2.209589684
242.6938987,20.22458035,20.67923,2.198581147
325.2326784,19.96926634,19.53836,2.157847608
240.5842813,20.23811117,20.67923,2.133149204
297.8955533,20.02595235,20.4591,2.117139338
238.9141675,20.2495736,20.67923,2.07771955
315.475698,19.94745105,19.53836,2.050843734
295.0827301,20.0406014,20.4591,2.045537679
317.7611169,19.94518923,19.53836,2.039736105
293.85212,20.04677544,20.4591,2.015360217
235.3981386,20.27574929,20.67923,1.951139894
235.0465357,20.27850862,20.67923,1.937796408
290.4239917,20.0629999,20.4591,1.936058258
233.6401241,20.28977897,20.67923,1.883295596
287.4353671,20.07580572,20.4591,1.873465987
211.3133402,19.51849666,19.15319,1.871592207
232.1458118,20.3021286,20.67923,1.823575636
284.5346432,20.08696159,20.4591,1.8189383
283.2161324,20.09162084,19.72981,1.800804659
231.3547053,20.30880502,20.67923,1.791290001
282.073423,20.09545811,20.4591,1.777409002
212.6318511,20.4591,20.09593,1.775102522
280.2275078,20.10128217,20.4591,1.7489422
280.0517063,20.10181382,20.4591,1.746343607
215.0930714,20.44458546,20.09593,1.705368199
275.9203723,20.1132924,20.4591,1.690238562
228.8055843,20.33083832,20.67923,1.684742028
273.8107549,20.11853115,20.4591,1.664632609
217.0268873,20.43109035,20.09593,1.640442783
314.0692865,19.95042943,20.28093,1.629612505
270.3826267,20.12647315,20.4591,1.625813692
292.5336091,20.05319583,19.72981,1.612639873
267.4819028,20.13295648,20.4591,1.594124451
267.0423992,20.13394133,20.4591,1.589310725
263.0868666,20.14311935,20.4591,1.544450391
225.2895553,20.36196338,20.67923,1.534228397
225.1137539,20.36352371,20.67923,1.526683022
261.4167528,20.14729322,20.4591,1.524049338
220.4550155,20.40397274,20.09593,1.509719439
221.5098242,20.39505616,20.09593,1.466660137
254.7362978,20.16726382,20.4591,1.426437037
254.3846949,20.16850385,20.4591,1.420376028
252.7145812,20.17470603,20.4591,1.390060984
221.7735264,20.39279723,20.67923,1.385123006
223.7073423,20.37596108,20.09593,1.374320857
251.3081696,20.1803524,20.4591,1.362462693
303.4332989,19.99617889,19.72981,1.332098968
299.3898656,20.01795533,20.28093,1.296659801
247.5284385,20.19762882,20.4591,1.278018964
226.344364,20.3525937,20.09593,1.261085963
217.3784902,20.4284756,20.67923,1.212590622
227.4870734,20.34245861,20.09593,1.211891892
324.4415719,19.96383563,19.72981,1.172247848
243.3971044,20.22030923,20.4591,1.167161662
228.5418821,20.33315331,20.09593,1.166682346
294.2916236,20.0445895,20.28093,1.165333651
311.6080662,19.9579877,19.72981,1.143290113
292.0941055,20.05528755,20.28093,1.112584329
213.5108583,20.45430755,20.67923,1.087673221
319.2554292,19.94574468,19.72981,1.082610262
284.0951396,20.08854275,19.87163,1.079783417
240.0568769,20.24166025,20.4591,1.062802124
240.0568769,20.24166025,20.4591,1.062802124
286.6442606,20.07897326,19.87163,1.032638747
232.7611169,20.29699988,20.09593,0.990638418
237.5956567,20.25907548,20.4591,0.977679965
233.5522234,20.2904952,20.09593,0.958898211
235.6618407,20.27369579,20.09593,0.876829701
278.8210962,20.10542975,20.28093,0.865346162
234.5191313,20.28269221,20.4591,0.862246081
317.9369183,19.9451648,20.09593,0.750227536
268.8004137,20.13001405,20.28093,0.744127384
321.0134436,19.94881884,20.09593,0.732044526
314.5966908,19.9491855,20.09593,0.730220013
312.926577,19.95360196,20.09593,0.708243097
